prfnm,entrpsnm,genrenm,telno,relateurl,mt30id
"한일국교정상화 60주년기념공연, 더 라스트 퀸: 조선왕조 마지막 황태자비, 정구열의 감수성이 노래하는 오직 사랑을 아는 이만이, 제24회 의정부 음악극축제, 봄이 오면-2",(사)국제문화공연교류회,서양음악(클래식),02-760-9200,https://youtube.com/channel/UCZkYX43IlBVfV7G_qgMt5Nw?si=YERNjtqsAnHmAnx2,AG013262
"인천국제음악콩쿠르, Final for Young Violinist, 인천국제음악콩쿠르, Final for Junior Violinist, 인천국제음악콩쿠르, Semi-Finals for Young Violinist",(사)국제문화교류협회,복합,,https://blog.naver.com/icea2855,AG009047
"제2회 나눔의 기쁨 [대전], EQ UP!, 교과서음악회, 제3회 이윤서피아노독주회",(사)국제문화예술교류협회,서양음악(클래식),053-765-4288,http://icaia.co.kr/,AG009836
사랑나눔 POP 콘서트,(사)국제사랑재단,서양음악(클래식),02-744-7607,http://www.ilf2004.org/,AG003139
"아시테지 국제여름축제: 꼬마야, 꼬마야, 아시테지 국제여름축제: 꼬마야, 꼬마야, 아시테지 국제여름축제, 걸리버 여행기: ZOOM IN OUT",(사)국제아동청소년연극협회 한국본부(아시테지),연극,02-745-5862,http://assitejkorea.org/,AG002794
"제46회 대한민국 장애인의 날 기념 제23회 사랑의 음악회: 공감의 선율, 제44회 장애인의 날 기념 제21회 사랑의 음악회, 봄의 향연, 세계 장애인의 날 기념 사랑의 콘서트",(사)국제장애인문화교류협회,서양음악(클래식),02-2282-7114,http://www.nanum.tv/,AG004407
세계 문화 댄스 페스티벌 [익산],(사)국제청소년연합,복합,00-1588-2346,https://www.iyf.or.kr/,AG007779
"제18회 (사) 국제피아노음악협회 정기연주회, 제16회 국제피아노음악협회 정기연주회, 제15회 (사)국제피아노음악협회 정기연주회",(사)국제피아노음악협회,서양음악(클래식),02-533-7017,https://www.mcst.go.kr/kor/s_data/corporation/corpView.jsp?pSeq=1673,AG010321
"무희: 무명이 되고자 했던 그녀, 무희: 무명이 되고자 했던 그녀 [대구]",(사)국채보상기념사업회,연극,053-745-6753,http://www.gukchae.com/,AG010635
"브런치클래식 Ⅵ. 가을 그 쓸쓸함에 대하여 [군포], 리: 바운드 축제, 브람스를 좋아하세요?, 브런치클래식 Ⅴ. 낭만 가객 바리톤 최현수 [군포]",(사)군포프라임필하모닉오케스트라,서양음악(클래식),031-392-6422,http://www.primephil.net/,AG002802
"궁중무용춘앵전보존회, 고집멸도, 한국 춤 100選 열두마당 - 춤으로 읽는 무용사",(사)궁중무용춘앵전보존회,무용(서양/한국무용),02-746-9716,http://cafe.daum.net/chunangmu,AG003079
"그라시아스 콘서트: SUMMER POEM [광주], 그라시아스 콘서트: SUMMER POEM [광주], 테너 훌리오 곤살레스 독창회",(사)그라시아스합창단,서양음악(클래식),00-1899-2199,http://graciaschoir.com/kr/,AG004420
"부산포 [부산], 부산포 [부산], 부산포 [부산]",(사)극단 맥,연극,051-625-2117,http://www.mac1986.com,AG001673
"세탁소엔 붕어빵이 있다 [창원], 세탁소엔 붕어빵이 있다 [창원], 세탁소엔 붕어빵이 있다 [창원]",(사)극단 미소,연극,055-264-5264,http://www.misodrama.com,AG001343
"검정고무신 2 [부산], 검정고무신 2 [부산], 검정고무신 2 [부산]",(사)극단 에저또,연극,,http://cafe.daum.net/ejotto,AG000942
"수무바다 흰고무래 [사천], 의기 논개: 프리미엄 갈라 에디션 [진주], 제44회 대한민국연극제 부산, 개는 물지 않는다",(사)극단 현장 [진주],연극,055-746-7411,https://www.ihyunjang.com/hj/main/index,AG002771
"제17회 대한민국 오페라 페스티벌, 글로리아 오페라단: 사랑의 묘약, 제17회 대한민국 오페라 페스티벌, 글로리아 오페라단: 사랑의 묘약, 제17회 대한민국 오페라 페스티벌, 글로리아 오페라단: 사랑의 묘약",(사)글로리아 오페라단,서양음악(클래식),02-543-2351,http://www.gloriaopera.co.kr,AG001695
"제6회 장영선의 춤: 무향 [구미], 제5회 낙동강구비구미 전국시니어무용대제전, 제5회 낙동강구비구미 전국시니어무용대제전",(사)글로벌사회복지연구원 구미지부,복합,,-,AG010827
"피싱, 코지 판 투테 [대전], 대전블루스",(사)글로벌아트오페라단,서양음악(클래식),042-821-6922,https://www.facebook.com/globalartopera,AG000694
"제150회 두레콘서트, 바이올리니스트 KoN 콘서트: 소녀의 눈물, 소녀의 내일",(사)글로벌케어,복합,02-6959-0333,https://www.globalcare.or.kr/,AG014409
"금암 김병호 원가락 프로젝트 Ⅲ. 비상, 제25회 (사) 김병호류가야금산조보존회 정기연주회, 김은선 가야금 독주회, 사이 Ⅱ",(사)김병호류 금암가야금산조보존회,한국음악(국악),070-7651-7110,,AG001667
"오페라 옴니버스 & 팬텀, 세계4대오페라축제, 라트라비아타, Classic Concert",(사)김자경오페라단,서양음악(클래식),02-333-0720,https://www.facebook.com/%EC%82%AC%EA%B9%80%EC%9E%90%EA%B2%BD%EC%98%A4%ED%8E%98%EB%9D%BC%EB%8B%A8-190522561053895/,AG001665
"알고 들으면 유익한 음악이야기, 바로크 천재들의 보물 Ⅱ [김포], 알고 들으면 유익한 음악이야기, 바로크 천재들의 보물 Ⅱ [김포], 알고 들으면 유익한 음악이야기, 바로크 천재들의 보물 [김포]",(사)김포필하모닉오케스트라,서양음악(클래식),031-983-4150,http://www.gimpophil.org/,AG001829
"팥죽할멈과 호랑이 [전주], 안녕, 꼭두 [순천], 안녕, 꼭두 [익산]",(사)꼭두,연극,063-232-1416,http://www.kkokdoo.com,AG002377
"꾸러기음악회, 신기한 악기의 세계 [서울], 꾸러기음악회, 신기한 악기의 세계 [서울], 악기야 놀자: 여름 방학",(사)꾸러기예술단,서양음악(클래식),02-547-9851,http://www.iconcert.co.kr/,AG003648
"제4회 건축! 음악을 품다 [인천], 제3회 건축! 음악을 품다 [인천], 별에서 온 사람들",(사)꿈꾸는 마을,서양음악(클래식),032-751-1823,http://www.dpnews.or.kr,AG003482
신(新) 산대희,(사)나누매기,한국음악(국악),010-7758-5167,,AG005616
스프링 콘체르토,(사)나눔과기쁨,서양음악(클래식),,,AG011404
"제10회 대한민국 나눔대축제, 캐리언니와 꼬마친구들의 신나는 댄스타임",(사)나눔국민운동본부,복합,070-7710-6300,http://www.sharingkorea.net/gboard/,AG007128
"제14회 전주세계소리축제, 혼불",(사)나라국악관현악단(구. 전주국악실내악단),한국음악(국악),,,AG003697
"순천가 삼삼오오: 여섯 갈래 길, 찬란한 비상 [순천], 순천가 삼삼오오: 여섯 갈래 길, 찬란한 비상 [순천]",(사)낙안읍성 판소리보존회(구.(사)한국판소리보존회 순천낙안읍성지부),한국음악(국악),010-3733-0809,http://cafe.daum.net/Naganeupseong,AG001263
"국창 신영희, 소리인생 70주년 기념 공연",(사)남도민요보존회,한국음악(국악),,,AG014842
"남사당유니버스: 원로, 남사당유니버스: 원로",(사)남사당(남사당놀이보존회),한국음악(국악),02-538-3880,https://www.namsadangnori.com/,AG001788
남산골 가무악 국악 한마당,(사)남산골국악진흥회,한국음악(국악),02-2256-7366,http://namsangolgukak.or.kr/,AG013994
"세 남자의 풍물이야기 Ⅱ, 동주공제: 함께건너다, 세 남자의 풍물이야기 Ⅱ, 동주공제: 함께건너다",(사)남산놀이마당,한국음악(국악),051-516-4434,http://www.ipoongmul.com,AG001510
"제6회 남자의자격 청춘합창단 정기연주회, 제5회 (사)남자의자격 청춘합창단 창단 10주년 및 정기연주회, 제5회 (사)남자의자격 청춘합창단 창단 10주년 및 정기연주회",(사)남자의자격 청춘합창단,서양음악(클래식),070-4906-0602,,AG012402
"춘향이 [광주], 춘향이 [광주], 춘향이 [광주]",(사)내벗소리민족예술단,한국음악(국악),062-261-4002,https://mfsori.modoo.at/,AG002365
"출해: 이무기 이야기 [고양], 출해: 이무기 이야기 [고양], 고양문화다리 예술주간 누리 프로그램6. 대한민국 대표 사운드, 김주홍과 노름마치: 허튼소리 [고양]",(사)노름마치예술단,한국음악(국악),02-323-2257,http://www.noreummachi.com,AG001564
"대전시립교향악단 디스커버리 시리즈 7, 신인발굴 음악회 [대전], 디스커버리 시리즈 6, 신인발굴 음악회",(사)높은음자리표,서양음악(클래식),,,AG014073
"한국 가곡의 밤: 우리 가곡, 마음의 노래, 한국 가곡의 밤: 우리 가곡, 마음의 노래, 한국 가곡의 밤: 우리 가곡, 마음의 노래",(사)뉴서울오페라단,서양음악(클래식),02-792-1721,http://nsopera.com/,AG002381
"제220회 뉴서울필하모닉오케스트라 정기 연주회: 피아니스트 임동혁과 함께하는 차이코프스키, 제220회 뉴서울필하모닉오케스트라 정기 연주회: 피아니스트 임동혁과 함께하는 차이코프스키, 제220회 뉴서울필하모닉오케스트라 정기 연주회: 피아니스트 임동혁과 함께하는 차이코프스키",(사)뉴서울필하모닉오케스트라,서양음악(클래식),02-6002-6290,http://www.newseoulphil.org/,AG006408
"부산세계박람회 유치 성공 기원 음악회, 부산세계박람회 유치 성공 기원 음악회, 제3회 뉴코리아 스트링 콰르텟 정기연주회",(사)뉴코리아필하모닉오케스트라,서양음악(클래식),02-6404-3569,http://www.newkoreaphil.com/,AG002807
"대구무형유산 제전, 대구무형유산제전, 대구광역시무형문화재 전수교육조교뎐 이을 脈",(사)대구광역시 무형문화재 연합회,한국음악(국악),053-341-7755,http://mh.ok11.kr/,AG010877
"제20회 DIMF, 피아노의 숲 [대구], 제20회 DIMF 어워즈 [대구], 제20회 DIMF 어워즈 [대구]",(사)대구국제뮤지컬페스티벌(DIMF),뮤지컬,053-622-1945,http://www.dimf.or.kr/main.do,AG004228
"Voice and Melody: The Melodies of America [대구], Voice and Melody: The Melodies of America [대구], 월드탱고챔피언 내한공연: What is Tango [대구]",(사)대구그랜드심포니오케스트라,서양음악(클래식),053-621-3301,https://www.facebook.com/grandsymphony,AG002360
"대구메세나협회 창립1주년 기념 자선음악회, 대구 클라리넷 앙상블, 대구메세나협회 창립1주년 기념 자선음악회, 대구 클라리넷 앙상블",(사)대구메세나협회,서양음악(클래식),053-474-1230,https://www.mecenatdg.or.kr/,AG015545
"조금 더 가까이서 들을 것 Vol.04 [대구], 조금 더 가까이서 들을 것 Vol.04 [대구], 조금 더 가까이서 들을 것 Vol.03 [대구]",(사)대구스트릿컬처팩토리,대중음악,010-3500-9058,https://www.facebook.com/westmoon2016/,AG007418
넌 어디가 아프니? [대구],(사)대구여성장애인연대,연극,053-637-6058,http://www.ddaws.or.kr/,AG008844
"아츠스프링 대구 페스티벌, 얼쑤 좋다 우리가락 한마당",(사)대구장애인예술연대,복합,,,AG015564
"한지수: 생황 방앗간, 한지수: 생황 방앗간",(사)대안공간 루프,복합,02-3141-1377,http://altspaceloop.com/,AG009491
"레테 [대전], 레테 [대전], 대전시민오페라단, 양화진",(사)대전시민오페라단,서양음악(클래식),042-821-6930,,AG014457
"라라라온 [프리즘홀], 라라라온 [프리즘홀], 라라라온 [부산 바이널언더그라운드]",(사)대한가수협회,대중음악,02-780-2783,http://www.singer.or.kr/site/,AG010494
"춤으로 푸는 고전, 춤으로 푸는 고전, 춤으로 푸는 고전",(사)대한무용학회,무용(서양/한국무용),02-2220-1333,http://www.ksdance.org/,AG005540
"제28회 대구국제무용제, 제28회 대구국제무용제, 제36회 대구무용제",(사)대한무용협회 대구광역시지회,무용(서양/한국무용),,http://daegudance.com/xe/main,AG015935
"제29회 성남 창작 무용제, 제40회 성남무용제, 제41회 성남전국무용경연대회",(사)대한무용협회 성남시지부,무용(서양/한국무용),,http://koreadanceassociation.org/branch?r=%EA%B2%BD%EA%B8%B0%EB%8F%84,AG011896
"제4회 시니어 한국민속춤 제전: 좋고 좋소, 에라 좋구나, 파주 춤결, 세대를 품다. [파주], 제15회 파주시민을 위한 춤대공연: 락, 페스티벌 2",(사)대한무용협회 파주시지부,무용(서양/한국무용),,https://koreadanceassociation.org/,AG014695
"KRCAF 한•러 문화예술제전, KRCAF 한•러 문화예술제전, 제4회 예맥-악가무: 무시무종",(사)대한문화예술진흥협회,복합,,http://kcaa23.org/layout/pc/home.php?go=main,AG013533
"제17회 대한민국오페라페스티벌, 더뮤즈오페라단: 치즈를 사랑한 할아버지, 제17회 대한민국 오페라 페스티벌, 글로리아 오페라단: 사랑의 묘약, 제16회 대한민국오페라페스티벌, 코리아아르츠그룹: 도산",(사)대한민국오페라단연합회,서양음악(클래식),02-1544-9373,,AG008011
"제2회 대한민국 전통예술 전승축제, 쾌유재, 춤 전승전, 긔룬 것은 다 님이다",(사)대한민국전통예술전승원,복합,02-419-9867,http://www.ktaia.or.kr/,AG005271
"제8회 대한민국 휠체어 합창단 정기연주회, 우리가락 우리노래, 제7회 대한민국휠체어합창단 정기연주회, 제6회 대한민국휠체어합창단 정기연주회",(사)대한민국휠체어합창단(Korean Wheelchair choir),서양음악(클래식),,http://koreawheelchairquire.com/,AG009672
"세계청소년명상페스티벌(MeMe Festival), MeMe 콘서트 [평창]",(사)대한불교조계종 문수청소년회,복합,033-646-1318,https://moonsoo.or.kr/ko/,AG012053
암 경험자의 정서적 지지를 위한 고잉 온 콘서트,(사)대한암협회,대중음악,02-2263-5110,http://kcscancer.org/,AG007043
"상반기 예진 아티스트 페스티벌, 예진영아티스트콘서트 1, 예진 신예 아티스트 페스티발, 예진 신예 아티스트 콘서트, 예진 영 아티스트 콘서트 2",(사)대한예능진흥회,서양음악(클래식),02-2266-7740,http://www.yaejinmusic.com/gnuboard4/,AG003006
"제64회 연세신포니에타 정기연주회, 제63회 연세신포니에타 정기연주회",(사)더무악뮤직컴퍼니,서양음악(클래식),02-569-0678,,AG008021
"제17회 대한민국오페라페스티벌, 더뮤즈오페라단: 치즈를 사랑한 할아버지, 제17회 대한민국오페라페스티벌, 더뮤즈오페라단: 치즈를 사랑한 할아버지, 창작오페라 찬드라",(사)더뮤즈오페라단,서양음악(클래식),02-564-4898,,AG003654
"평화음악회 함께 살아감 (Living Together) [수원], 치유와 평화를 위한 평화음악회 [인천], 치유와 평화를 위한 평화음악회 [서울]",(사)더불어배움,복합,02-744-8890,https://thebaeum.or.kr/,AG011075
뚜껑없는 열차,(사)독립유공자유족회,복합,02-722-8400,http://www.815family.or.kr/,AG010121
"전라북도 공연예술 페스타, 동남풍의 사계 그리고 조우, 전라북도 공연예술 페스타, 동남풍의 사계 그리고 조우",(사)동남풍,한국음악(국악),010-3303-5909,,AG006870
"낙엽 [전주], 낙엽 [전주], 전라북도 공연예술 페스타, 공사장(孔社長)",(사)동화기념사업회,연극,010-4651-3181,,AG006836
"오정해의 농담: 악작(樂作) [정읍], 오정해의 농담: 악작(樂作) [정읍], 오정해의 농담: 동작(動作) [정읍]",(사)둘레,대중음악,063-536-2560,http://dulle.or.kr/,AG006236
"드림필하모닉오케스트라 정기연주회: 위대한 이름들 고전음악의 거장 [전주], 드림필하모닉오케스트라 정기연주회: 위대한 이름들 고전음악의 거장 [전주], 광복 80주년 기념 팝스 콘서트 [김제]",(사)드림필,복합,063-232-8690,http://cafe.daum.net/dreamphil.,AG002355
"제2회 디오오케스트라 영아티스트 콘서트 [대구], 제2회 디오오케스트라 영아티스트 콘서트 [대구], 제2회 디오오케스트라 영아티스트 콘서트 [대구]",(사)디오오케스트라,서양음악(클래식),053-655-1108,https://dioo.modoo.at/,AG010714
레미제라블 [노원문화예술회관],(사)디티에스행복들고나(DTS행복들고나),무용(서양/한국무용),02-936-7253,http://dtshappy.org/,AG008424
"라벨라 그랜드 갈라, 라 보엠, 라벨라 그랜드 갈라, 라 보엠, 푸푸게노! 똥밟았네?",(사)라벨라오페라단,서양음악(클래식),02-572-6773,http://www.labellaopera.com/,AG001600
"드리머스 [대구], 드리머스 Dreamers, 드리머스 (Dreamers)",(사)라하프 (극단 라하프),뮤지컬,02-337-2004,https://tourmaline-fireman-664.notion.site/d07cb14dfcab49009e6962a9a8f70e53,AG010421
러브월드 다문화 오케스트라 후원 연주회,(사)러브월드,서양음악(클래식),02-6204-0305,http://www.loveworld.pro/,AG013000
"우리꿈빛청소년오케스트라 & 구미그린필오케스트라 합동정기연주회, 우리꿈빛청소년오케스트라 & 구미그린필오케스트라 합동정기연주회",(사)레인보우청소년문화센터,서양음악(클래식),,,AG010765
"리을무용단 창단 40주년 기념공연: 미혹, 리을무용단 창단 40주년 기념공연: 미혹, 제36회 리을무용단 정기공연",(사)리을춤연구원 (리을무용단),무용(서양/한국무용),02-2263-4680,http://cafe.daum.net/realchoom,AG001176
"마니죤 튜닝밴드 정기연주회, 마니죤 튜닝밴드 정기연주회",(사)마니죤윈드콰이어,서양음악(클래식),053-741-2764,,AG015329
"쪽빛 황혼 [안성], 쪽빛 황혼 [안성], 쪽빛황혼 [속초]",(사)마당극패 우금치,한국음악(국악),042-934-9394,http://www.wukumchi.co.kr/,AG008088
"너에게 들려주고 싶은 클래식 이야기: 너클리, Paris en Flute [성남], 너에게 들려주고 싶은 클래식 이야기: 너클리 [성남], 너에게 들려주고 싶은 클래식이야기: 너클리, FOR THE MUSE [성남]",(사)마제스틱필하모닉오케스트라,서양음악(클래식),02-525-3538,http://majestic.or.kr/zbxe/,AG007683
매헌윤봉길의사 상하이의거 90주년 기념 음악축제,(사)매헌 윤봉길의사 기념사업회,서양음악(클래식),02-578-3388,http://www.yunbonggil.or.kr/index.php,AG011770
"강북 연희 살으리랏다, 삼각산 국악페스티벌 (11.6), 삼각산 국악페스티벌 (11.6)",(사)명아락,한국음악(국악),,http://www.myoungarak.com/,AG012661
"모스틀리 필하모닉 오케스트라 송년음악회, 모스틀리 필하모닉 오케스트라 정기연주회, 모스틀리 오케스트라 스토리가 있는 음악회: 내 사랑을 받아주세요",(사)모스틀리 뮤직,서양음악(클래식),02-3285-8808,http://www.mostly.kr/mpo/new/default02.asp,AG007700
"모스틀리 오케스트라의 스토리가 있는 음악회: 내 사랑을 받아주세요 [예산], 모스틀리 오케스트라의 스토리가 있는 음악회: 내 사랑을 받아주세요 [태안], 카네기 LEE 재단 창립 6주년 기념, 지구힐링콘서트",(사)모스틀리 필하모닉 오케스트라,서양음악(클래식),02-3285-8808,http://www.mostly.kr,AG002359
"대한민국오페라페스티벌, 토스카, 투란도트",(사)무악오페라,서양음악(클래식),02-569-0678,https://www.facebook.com/muakopera/,AG002946
Festival SP 융복합 아트 페스티벌,(사)무용문화포럼,무용(서양/한국무용),070-8944-6881,,AG004408
"사단법인 무트댄스, 5th BE-MUT, 사단법인 무트댄스, 5th BE-MUT, 사단법인 무트댄스, 5th BE-MUT",(사)무트댄스,무용(서양/한국무용),02-525-1117,http://www.mutdance.com,AG002394
"제6회 K프렌즈와 함께하는 송년음악회 [부산], 제15회 마루국제음악제, KNN방송교향악단 특별음악회: All That Mozart, 임태경과 KNN방송교향악단의 특별한 송년음악회 [부산]",(사)문화사랑케이프렌즈,서양음악(클래식),,,AG014668
"동행, 음악극 쇼케이스: 혼듸, 동행, 음악극 쇼케이스: 혼듸, 후생가외, 제1회 노주애 해금 독주회: 애열 (愛悅)",(사)문화예술나눔터 아이원,복합,02-2246-0071,http://www.ai1.or.kr,AG001272
"소프라노 박정화 초청 독창회 [부산], CHRISTMAS CLASSIC FANTASY [파주], CHRISTMAS CLASSIC FANTASY [파주]",(사)문화예술라온,서양음악(클래식),,,AG011565
"제36회 메리 정기연주회: 동행 (同行) : 차이콥스키 5번 & 한중 합동 연주회, 제36회 메리 정기연주회: 동행 (同行) : 차이콥스키 5번 & 한중 합동 연주회, 제31회 MERRY 정기연주회: Magic Hour: 1900년대 디즈니 오케스트라 콘서트",(사)문화예술봉사단 메리,서양음악(클래식),,https://www.wearemerry.org/?fbclid=IwAR1dwkNR_kuv8UHJNWGCa-iisSoxn7HqTNWOu8PeJBava_tJtx4L6js0IFs,AG012238
"한국-싱가포르 문화교류 연주회: BRIDGE [고양], 한국-싱가포르 문화교류 연주회: BRIDGE [고양], 제34회 메리 정기연주회, 경계 너머: 말러 1번＆알라딘 OST 콘서트",(사)문화예술봉사단메리,서양음악(클래식),,https://www.wearemerry.org/home,AG013944
"앙상블 쿠아라 정기연주회: 시절인연 [광주], 앙상블 쿠아라 정기연주회: 시절인연 [광주], 피아니스트 김정원 전국투어 리사이틀: Minor Light [광주]",(사)문화예술진흥회,서양음악(클래식),062-376-7200,http://www.cuara.org/,AG014779
"구미아시아연극제, 햄릿 Part. 1, 구미아시아연극제, 햄릿 Part. 1, 구미아시아연극제, 온 가족 외출 [구미]",(사)문화창작집단 공터다,연극,054-444-0604,http://cafe.daum.net/gumire,AG002920
"이수현 피아노 독주회, 이수현 피아노 독주회, 정은비 마림바 콘서트",(사)문화커뮤니티 금토,서양음악(클래식),,http://www.geumto.or.kr,AG013344
"NOT A NUMBER [춘천], NOT A NUMBER [춘천], 소낙비 [춘천]",(사)문화프로덕션 도모,연극,033-253-7111,http://artdomo.co.kr/,AG001464
"제22회 자라섬재즈페스티벌, 제22회 자라섬재즈페스티벌, 제20회 자라섬재즈페스티벌",(사)문화현상,대중음악,031-581-2815,http://jarasumjazz.com,AG010175
CAMARATA와 함께하는 물망초 음악회,(사)물망초,서양음악(클래식),02-585-9963,http://www.mulmangcho.org/?fbclid=IwAR0u2ByYu9yZErl-ENW1cBd3PyZoRUzDEVMT30O6TFQSg6cFexd0yNY13HY,AG005754
"대원플러스와 함께하는 신델라의 뮤직나눔 사랑나눔, 대원플러스와 함께하는 신델라의 뮤직나눔 사랑나눔",(사)뮤직나눔,서양음악(클래식),02-6082-3375,http://www.musicnanum.co.kr/,AG012057
"정명훈 & 원 코리아 오케스트라, 아시아필하모닉오케스트라",(사)미라클오브뮤직,서양음악(클래식),02-745-0310,,AG003138
"히든카드, 하이마스크 시즌2, 프로포즈 [안동], 하이마스크 시즌2, 프로포즈 [안동]",(사)미래문화재단,복합,054-841-2430,http://www.gbculture.org/coding/main.asp,AG005086
"이순신: 이순신과 류성룡의 위대한 만남, 제19회 이마에스트리 정기연주회, 제19회 이마에스트리 정기연주회",(사)미래성악포럼,서양음악(클래식),02-352-5824,http://www.imaestri.co.kr/,AG003647
"사물놀이 본향 [세종], 이광수 헌정 음악회, 이광수 헌정 음악회",(사)민족음악원,한국음악(국악),041-333-3777,http://www.samulnori.com,AG002367
"일리야 라쉬코프스키, 라흐마니노프 3개의 피아노 협주곡 [수원], 일리야 라쉬코프스키, 라흐마니노프 3개의 피아노 협주곡 [수원], 베토벤의 생애를 관통하는 세 개의 피아노 협주곡: 위대한 베토벤 [부산]",(사)밀레니엄심포니오케스트라,복합,02-6292-9367,http://www.millenniumsymphony.com/,AG002687
"제17회 밀양여름공연예술축제, 억척어멈과 그의 자식들, 제17회 밀양여름공연예술축제, 홍도야 울지마라, 제17회 밀양여름공연예술축제, 오버코트",(사)밀양연극촌,연극,055-355-2308,,AG004227
"임수정의 춤, 무맥 (舞脈) 의 유산: 예맥지무 (藝脈之舞), 임수정의 춤, 무맥 (舞脈) 의 유산: 예맥지무 (藝脈之舞), 故박병천 선생 14주기 추모공연: 무송제헌무",(사)박병천류 진도북춤보존회,무용(서양/한국무용),010-5208-3355,http://cafe.naver.com/jindobookchoom,AG002382
"제2회 박성희판소리보존회 정기공연, 제2회 박성희판소리보존회 정기공연",(사)박성희판소리보존회,한국음악(국악),,,AG008878
"발트앙상블 Neoclassic!, 발트앙상블 Neoclassic!, 발트앙상블 x SAL, APOLLO",(사)발트,서양음악(클래식),,-,AG009924
"어버이날 기념 폴포츠 콘서트 [수원], 폴 포츠: 위대한 10년의 기적",(사)밝은청소년,서양음악(클래식),02-776-4818,http://www.eduko.org/main.php,AG005159
"제34회 베누스토심포니오케스트라 정기연주회: CHORAL, 제33회 베누스토심포니오케스트라 정기연주회, 제32회 베누스토심포니오케스트라 정기연주회",(사)베누스토음악인연합회,서양음악(클래식),02-522-0067,http://www.venusto.co.kr,AG000794
"The Magic 팬텀 & 퀸 [의정부], 제17회 베하필하모닉 오케스트라 정기연주회, 제16회 베하필하모닉 오케스트라 송년 콘서트 [인천]",(사)베하 필하모닉 오케스트라,서양음악(클래식),02-3487-3019,http://www.behaphil.co.kr/,AG003244
"명불허전 [대구], 명불허전 [대구], 춤속의 사람 舞中人, 박재희 춤 60년",(사)벽파춤연구회,무용(서양/한국무용),,,AG008320
"사계명월: 계절의 리듬, 전통의 춤사위, 사계명월: 계절의 리듬, 전통의 춤사위, 보훈무용제, 보훈 댄스 페스티벌",(사)보훈무용예술협회,무용(서양/한국무용),02-588-4262,http://www.bohundance.org/,AG004962
"제3회 춤사랑무용제, 제2회 춤사랑무용제, 제2회 춤사랑무용제",(사)보훈무용예술협회  구미시지부,무용(서양/한국무용),,http://www.bohundance.org/index.php?mid=page_jQdF63,AG011195
"세상의 모든 춤 속으로: 세계 무용 [거제], 제22회 부산국제무용제 캐나다 퀘백 포커스 특별초청 공연: 위기의 시대, 존재를 묻다, 제22회 부산국제무용제, 제1회 BIDF 프린지: DAY 2 [부산]",(사)부산국제무용제 조직위원회,무용(서양/한국무용),051-868-7881,http://www.bidf.kr/,AG004892
"제18회 부산국제어린이청소년영화제, 애니메이션 음악회, 제17회 부산국제어린이청소년영화제, 애니메이션 음악회",(사)부산국제어린이청소년영화제,복합,051-743-7652,http://biky.or.kr/,AG011953
"제23회 부산국제연극제, 폐막작: 메리 고 라운드 (MERRY-GO-ROUND), [패키지] 제23회 부산국제연극제, 초청작 4개 공연 관극패키지, [패키지] 제23회 부산국제연극제, 초청작 4개 공연 관극패키지",(사)부산국제연극제조직위원회,연극,051-802-8003,http://www.bipaf.org/,AG003376
"제87회 부산네오필하모닉 오케스트라 정기연주회 [부산], 제87회 부산네오필하모닉 오케스트라 정기연주회 [부산], 제87회 부산네오필하모닉 오케스트라 정기연주회 [부산]",(사)부산네오필하모닉 오케스트라,서양음악(클래식),070-8899-7308,http://neophil.org/,AG001117
"음유시인: Troubadour [부산], 음유시인: Troubadour [부산], 프랑스 로맨틱 콘서트 [부산]",(사)부산메트로폴리탄팝스오케스트라,서양음악(클래식),070-7727-0188,http://www.bmpo.co.kr,AG001174
"부산메트로폴리탄필하모닉오케스트라, ClassIn Movie : 영화의 클래스 [부산], 부산메트로폴리탄필하모닉오케스트라, ClassIn Movie : 영화의 클래스 [부산], 부산메트로폴리탄필하모닉오케스트라, ClassIn Movie : 영화의 클래스 [부산]",(사)부산메트로폴리탄필하모닉오케스트라,서양음악(클래식),070-7727-0188,https://www.bmpo.co.kr/,AG011952
"Road to BU-ROCK 로드 투 부락, SPYAIR ASIA TOUR: BUDDY [서울], Road to BU-ROCK 로드 투 부락 [부산 금정], Road to BU-ROCK 로드 투 부락 [서울 영등포]",(사)부산문화관광축제조직위원회,복합,051-501-6051,http://www.bfo.or.kr/main/index.asp,AG006356
"론 브랜튼의 재즈 크리스마스! [부산], 론브랜튼의 April in Busan  째즈콘서트",(사)부산문화예술사랑,서양음악(클래식),,,AG013127
춤 관객과 함께하다 [부산],(사)부산민주항쟁기념사업회,한국음악(국악),051-790-7477,http://www.ohminju.or.kr/,AG014059
"NAC 문화예술교육 공연 및 체험, 악기체험 클클클 Ⅴ. 동물원에 간 오케스트라, NAC 문화예술교육 공연 및 체험, 악기체험 클클클 Ⅳ. 도레미 [부산], NAC 렉처콘서트, 고전에서 낭만으로 Ⅲ. 베토벤 [부산]",(사)부산심포니오케스트라,서양음악(클래식),051-621-4577,http://www.bso21.com,AG001622
"제27회 부산세계자원봉사대회 성공 기념 자원봉사자 초청 위로음악회: 동행Ⅴ, 제27회 부산세계자원봉사대회 성공 기념 자원봉사자 초청 위로음악회: 동행Ⅴ, 부산자원봉사자 초청 위로음악회: 동행II",(사)부산자원봉사포럼,복합,,https://www.bvf.or.kr/,AG010638
